angle_deg,deltaDM
0,-67.37129053444801
2,-62.48501253132849
4,-55.00752040679777
6,-49.92205357142848
8,-49.68814020682976
10,-43.73650569613869
12,-42.79212642582354
14,-42.95641028534021
16,-29.71138270909603
18,-29.784013226709817
20,-29.532300840166045
22,-34.766141198789455
24,-29.636576501092577
26,-31.452849177206645
28,-42.30655691300842
30,-39.89116097383726
32,-41.817586818988616
34,-42.072240680897494
36,-47.93610668608619
38,-54.275144508670564
40,-0.9141151841788542
42,-1.945101356992609
44,2.943269230769147
46,-6.753463726330551
48,-19.897377133239047
50,-14.919245854876067
52,-13.201120048193275
54,-14.575968049621338
56,-17.99846282372596
58,-23.14118747494547
60,-16.505761957730897
62,-27.70034364261153
64,-36.23034482758624
66,-35.55287595596178
68,-22.676842902320573
70,-30.476964285714303
72,-32.07581678946838
74,-32.87093750000008
76,38.373524182076835
78,40.93998044096736
80,36.754253959433186
82,37.487715086034314
84,49.839602308744475
86,44.63797119487913
88,55.67084190052799
90,36.85094289272365
92,44.46276315350485
94,47.22910918166565
96,42.3183139922636
98,44.16814623732432
100,47.88267852181173
102,50.51474298416224
104,52.369924979161055
106,51.50143522584517
108,42.092185277382555
110,52.80197353068627
112,45.101870187018676
114,42.584898489849024
116,35.62333333333345
118,25.501151162273914
120,30.529858293970506
122,31.338749652681372
124,15.311860674607033
126,32.74426868230353
128,36.47646901709402
130,36.06238213840959
132,42.388896673673116
134,42.60103184486752
136,41.74513904338164
138,48.69090302861912
140,54.657249566493306
142,51.90679611650489
144,52.13290649593171
146,57.261615453908576
148,64.48211390251242
150,60.67967823407025
152,64.50397970085453
154,62.702523627700884
156,52.55229096095559
158,51.83140374167499
160,56.69955300910692
162,53.33694712930378
164,53.0771159176677
166,52.40795940170938
168,61.40631813125674
170,67.26786902390995
172,71.48179591109533
174,75.25861213409132
176,66.5465811965812
178,62.99574089122905
180,67.37129053444801
182,62.48501253132849
184,55.00752040679777
186,49.92205357142848
188,49.68814020682976
190,43.73650569613869
192,42.79212642582354
194,42.95641028534021
196,29.71138270909603
198,29.784013226709817
200,29.532300840166045
202,34.766141198789455
204,29.636576501092577
206,31.452849177206645
208,42.30655691300842
210,39.89116097383726
212,41.817586818988616
214,42.072240680897494
216,47.93610668608619
218,54.275144508670564
220,0.9141151841788542
222,1.945101356992609
224,-2.943269230769147
226,6.753463726330551
228,19.897377133239047
230,14.919245854876067
232,13.201120048193275
234,14.575968049621338
236,17.99846282372596
238,23.14118747494547
240,16.505761957730897
242,27.70034364261153
244,36.23034482758624
246,35.55287595596178
248,22.676842902320573
250,30.476964285714303
252,32.07581678946838
254,32.87093750000008
256,-38.373524182076835
258,-40.93998044096736
260,-37.7571561958116
262,-37.487715086034314
264,-49.839602308744475
266,-44.63797119487913
268,-55.67084190052799
270,-37.90019017115401
272,-44.46276315350485
274,-47.22910918166565
276,-42.3183139922636
278,-44.16814623732432
280,-47.88267852181173
282,-50.51474298416224
284,-52.369924979161055
286,-51.50143522584517
288,-42.092185277382555
290,-52.80197353068627
292,-45.101870187018676
294,-42.584898489849024
296,-35.62333333333345
298,-25.501151162273914
300,-30.529858293970506
302,-31.338749652681372
304,-15.311860674607033
306,-32.74426868230353
308,-36.47646901709402
310,-36.06238213840959
312,-42.388896673673116
314,-42.60103184486752
316,-41.74513904338164
318,-48.69090302861912
320,-54.657249566493306
322,-51.90679611650489
324,-52.13290649593171
326,-57.261615453908576
328,-64.48211390251242
330,-60.67967823407025
332,-64.50397970085453
334,-62.702523627700884
336,-52.55229096095559
338,-51.83140374167499
340,-56.69955300910692
342,-53.33694712930378
344,-53.0771159176677
346,-52.40795940170938
348,-61.40631813125674
350,-67.26786902390995
352,-71.48179591109533
354,-75.25861213409132
356,-66.5465811965812
358,-62.99574089122905
